	n,Синоптический индекс станции,Год   по Гринвичу,Месяц по Гринвичу,День  по Гринвичу,Срок  по Гринвичу,Год   источника (местный),Месяц источника (местный),День  источника (местный),Срок  источника (местный),Время местное,Погода между сроками,Погода в срок наблюдения,Направление ветра,Средняя скорость ветра,Максимальная скорость ветра,Сумма осадков,Температура поверхности почвы,Температура пов. почвы по мин. терм-ру,Мин. температура пов-сти почвы между сроками,Макс. температура пов-сти почвы между сроками,Температура пов-сти почвы по макс. терм-ру п/встр.,Температура воздуха по сухому терм-ру,Темп.воздуха по смоченному терм-ру,Температура воздуха по мин. терм-ру,Мин.температура воздуха между сроками,Макс. темперура воздуха между сроками,Темпера воздуха по макс. терм-ру после встрях.,Относительная влажность воздуха,Температура точки росы
0,23804,1965,12,31,18,1966,1,1,21,22,7,85,200,7,,,-10.0,,,,,-9.2,,,,,,82,-12.0
1,23804,1965,12,31,21,1966,1,1,0,1,8,71,200,5,,,-10.0,,,,,-10.1,,,,,,83,-12.0
2,23804,1966,1,1,0,1966,1,1,3,4,7,71,200,5,,0.3,-10.0,,,,,-9.4,,,,,,82,-12.0
3,23804,1966,1,1,3,1966,1,1,6,7,7,71,200,5,,0.2,-11.0,,,,,-10.6,,,,,,83,-13.0
4,23804,1966,1,1,6,1966,1,1,9,10,7,71,180,4,,,-12.0,,,,,-11.5,,,,,,86,-13.0
5,23804,1966,1,1,9,1966,1,1,12,13,7,71,200,4,,,-10.0,,,,,-10.8,,,,,,86,-13.0
6,23804,1966,1,1,12,1966,1,1,15,16,7,71,230,5,,0.8,-13.0,,,,,-11.8,,,,,,84,-14.0
7,23804,1966,1,1,15,1966,1,1,18,19,7,2,230,4,,0.2,-17.0,,,,,-14.3,,,,,,86,-16.0
8,23804,1966,1,1,18,1966,1,2,21,22,7,71,200,3,,,-13.0,,,,,-12.3,,,,,,82,-15.0
9,23804,1966,1,1,21,1966,1,2,0,1,7,71,200,3,,,-14.0,,,,,-13.5,,,,,,83,-16.0
10,23804,1966,1,2,0,1966,1,2,3,4,7,71,200,3,,0.3,-14.0,,,,,-14.5,,,,,,84,-16.0
